Logistics ID,Order ID,Carrier,Tracking Number,Status,Shipping Cost,Estimated Delivery,Cost_Category,Distance_Miles
LOG49933,SO201629705,USPS,TRACK798404,Delivered,4017.98,2023-05-27,High Cost ($3K-$6K),1070
LOG58443,SO202134235,TNT,TRACK477332,Delivered,3628.65,2021-10-25,High Cost ($3K-$6K),1070
LOG76443,SO201951054,USPS,TRACK577304,In Transit,908.74,2022-04-03,Low Cost (<$1K),152
LOG98663,SO202282082,TNT,TRACK454456,Delivered,4026.65,2023-08-28,High Cost ($3K-$6K),1070
LOG40066,SO200115452,TNT,TRACK918855,Delivered,1763.8,2020-06-03,Medium Cost ($1K-$3K),735
LOG75139,SO200971370,FedEx,TRACK180827,Delayed,2720.91,2020-02-24,Medium Cost ($1K-$3K),735
LOG73284,SO202093455,DHL,TRACK315956,In Transit,3098.48,2025-12-15,High Cost ($3K-$6K),1070
LOG26818,SO200473772,SF Express,TRACK686154,Delayed,295.5,2025-10-03,Low Cost (<$1K),152
LOG32702,SO200090551,TNT,TRACK408491,Delayed,594.81,2023-07-18,Low Cost (<$1K),152
LOG35328,SO201192802,TNT,TRACK434945,In Transit,57.28,2022-08-02,Low Cost (<$1K),152
LOG18639,SO201757437,TNT,TRACK220137,Delivered,2206.16,2025-12-01,Medium Cost ($1K-$3K),735
LOG70458,SO200526114,SF Express,TRACK766672,Delayed,795.74,2023-11-25,Low Cost (<$1K),152
LOG18984,SO201998596,SF Express,TRACK372493,Delivered,875.01,2021-12-17,Low Cost (<$1K),152
LOG95019,SO200232155,SF Express,TRACK413209,Delivered,1169.09,2024-11-18,Medium Cost ($1K-$3K),735
LOG85353,SO200280286,TNT,TRACK869134,In Transit,2582.74,2023-10-14,Medium Cost ($1K-$3K),735
LOG84950,SO200121531,DHL,TRACK700367,Delivered,1146.74,2022-10-19,Medium Cost ($1K-$3K),735
LOG95738,SO202069636,SF Express,TRACK184095,Delivered,3894.42,2022-03-09,High Cost ($3K-$6K),1070
LOG95765,SO201221870,DHL,TRACK903326,Delivered,2852.35,2020-04-11,Medium Cost ($1K-$3K),735
LOG17105,SO200434831,TNT,TRACK893514,Delivered,130.28,2024-07-17,Low Cost (<$1K),152
LOG98278,SO200749462,UPS,TRACK599086,Delayed,3538.31,2023-10-23,High Cost ($3K-$6K),1070
LOG10942,SO201518414,UPS,TRACK856093,Delivered,54.56,2023-05-08,Low Cost (<$1K),152
LOG25328,SO200226491,SF Express,TRACK999430,Delivered,2310.85,2021-12-27,Medium Cost ($1K-$3K),735
LOG84026,SO202257396,FedEx,TRACK432403,In Transit,1517.4,2020-05-09,Medium Cost ($1K-$3K),735
LOG14587,SO202181243,SF Express,TRACK443901,Delivered,3028.72,2021-12-02,High Cost ($3K-$6K),1070
LOG96576,SO202149595,DHL,TRACK695934,In Transit,1486.98,2022-10-02,Medium Cost ($1K-$3K),735
LOG77457,SO200078796,TNT,TRACK765702,Delivered,2174.78,2025-10-08,Medium Cost ($1K-$3K),735
LOG26422,SO200358935,DHL,TRACK103492,In Transit,3673.44,2023-08-01,High Cost ($3K-$6K),1070
LOG75542,SO200467599,FedEx,TRACK979379,In Transit,4300.01,2021-01-14,High Cost ($3K-$6K),1070
LOG66728,SO201381249,SF Express,TRACK343109,In Transit,3117.35,2023-02-13,High Cost ($3K-$6K),1070
LOG24231,SO202485677,USPS,TRACK194843,In Transit,952.31,2021-11-15,Low Cost (<$1K),152
LOG25251,SO201888399,DHL,TRACK685261,Delivered,186.59,2022-01-22,Low Cost (<$1K),152
LOG26801,SO200791984,USPS,TRACK180898,Delivered,1410.28,2025-09-03,Medium Cost ($1K-$3K),735
LOG68565,SO202424453,SF Express,TRACK187615,In Transit,1074.08,2020-05-06,Medium Cost ($1K-$3K),735
LOG67214,SO201462993,DHL,TRACK390818,Delayed,2745.62,2021-03-16,Medium Cost ($1K-$3K),735
LOG44729,SO201260097,FedEx,TRACK845793,In Transit,3524.25,2020-05-19,High Cost ($3K-$6K),1070
LOG51139,SO201756972,UPS,TRACK168614,In Transit,1691.29,2025-08-22,Medium Cost ($1K-$3K),735
LOG50185,SO201745838,FedEx,TRACK570027,In Transit,3416.9,2025-03-05,High Cost ($3K-$6K),1070
LOG75252,SO200680574,FedEx,TRACK588165,Delayed,1202.12,2020-05-03,Medium Cost ($1K-$3K),735
LOG71042,SO201889794,SF Express,TRACK590795,In Transit,3528.55,2020-02-23,High Cost ($3K-$6K),1070
LOG79651,SO202245597,USPS,TRACK654158,Delayed,4957.96,2023-01-02,High Cost ($3K-$6K),1070
LOG50604,SO200875371,FedEx,TRACK780226,Delivered,3497.23,2024-11-12,High Cost ($3K-$6K),1070
LOG24401,SO201562992,DHL,TRACK556660,Delivered,3957.64,2024-11-02,High Cost ($3K-$6K),1070
LOG30233,SO201549330,USPS,TRACK223591,Delivered,461.57,2025-11-21,Low Cost (<$1K),152
LOG23566,SO200084572,DHL,TRACK447118,Delayed,679.69,2024-11-14,Low Cost (<$1K),152
LOG47725,SO201094298,SF Express,TRACK696261,Delivered,2401.58,2022-05-10,Medium Cost ($1K-$3K),735
LOG77739,SO201129115,UPS,TRACK420430,Delayed,3633.97,2023-10-22,High Cost ($3K-$6K),1070
LOG84954,SO201820470,DHL,TRACK791136,In Transit,3297.25,2024-09-22,High Cost ($3K-$6K),1070
LOG70544,SO202251755,FedEx,TRACK213178,Delivered,3375.54,2020-01-15,High Cost ($3K-$6K),1070
LOG61390,SO202124978,SF Express,TRACK924559,In Transit,4934.09,2021-11-25,High Cost ($3K-$6K),1070
LOG77029,SO200434594,SF Express,TRACK821758,In Transit,3506.42,2020-05-25,High Cost ($3K-$6K),1070
LOG74183,SO201634583,FedEx,TRACK807690,Delayed,3866.1,2023-02-28,High Cost ($3K-$6K),1070
LOG60137,SO200534419,DHL,TRACK714805,Delivered,3527.86,2024-08-04,High Cost ($3K-$6K),1070
LOG30254,SO200158809,UPS,TRACK118925,Delayed,3196.18,2024-01-11,High Cost ($3K-$6K),1070
LOG43337,SO202392500,UPS,TRACK436774,Delivered,3587.89,2023-03-12,High Cost ($3K-$6K),1070
LOG30468,SO202598430,TNT,TRACK538457,Delayed,221.21,2023-06-06,Low Cost (<$1K),152
LOG87201,SO200990647,FedEx,TRACK356278,Delivered,1087.78,2023-04-16,Medium Cost ($1K-$3K),735
LOG69393,SO202064619,SF Express,TRACK628813,Delivered,757.45,2021-08-07,Low Cost (<$1K),152
LOG69478,SO201722721,FedEx,TRACK154356,Delayed,3639.04,2022-02-11,High Cost ($3K-$6K),1070
LOG74770,SO201724797,DHL,TRACK655502,Delayed,2161.4,2021-07-03,Medium Cost ($1K-$3K),735
LOG72600,SO200119673,DHL,TRACK116503,In Transit,2136.03,2023-06-13,Medium Cost ($1K-$3K),735
LOG25577,SO200852238,SF Express,TRACK371012,Delivered,2450.67,2024-01-07,Medium Cost ($1K-$3K),735
LOG59638,SO201066312,USPS,TRACK498809,Delayed,2537.31,2023-08-15,Medium Cost ($1K-$3K),735
LOG64720,SO201839848,DHL,TRACK585763,In Transit,4294.02,2020-09-08,High Cost ($3K-$6K),1070
LOG87414,SO201013899,TNT,TRACK623468,Delivered,1238.3,2024-12-20,Medium Cost ($1K-$3K),735
LOG37893,SO202185806,TNT,TRACK742653,Delivered,2955.05,2024-07-03,Medium Cost ($1K-$3K),735
LOG59936,SO201425149,UPS,TRACK423367,Delivered,3282.93,2021-03-23,High Cost ($3K-$6K),1070
LOG18254,SO200492585,USPS,TRACK449899,Delivered,2722.25,2022-06-11,Medium Cost ($1K-$3K),735
LOG97825,SO201260454,TNT,TRACK950036,In Transit,4000.65,2021-06-17,High Cost ($3K-$6K),1070
LOG33837,SO201228051,SF Express,TRACK309965,Delivered,518.65,2023-09-02,Low Cost (<$1K),152
LOG79933,SO201482263,DHL,TRACK253132,In Transit,2112.64,2024-12-13,Medium Cost ($1K-$3K),735
LOG65827,SO201050136,FedEx,TRACK371140,In Transit,2062.27,2023-05-17,Medium Cost ($1K-$3K),735
LOG56393,SO202571235,USPS,TRACK427904,In Transit,4249.67,2024-06-14,High Cost ($3K-$6K),1070
